City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
80,Ponta Do Sol,PT,2020-05-09 23:55:28,32.67,-17.1,66.2,68,40,2.24,scattered clouds,0,0
81,Deer Lake,CA,2020-05-09 23:55:28,49.17,-57.43,37.4,93,90,10.29,light rain,0,0
82,Ambon,ID,2020-05-09 23:55:28,-3.7,128.18,86.0,74,40,4.7,scattered clouds,0,0
83,Ballinrobe,IE,2020-05-09 23:55:28,53.63,-9.23,53.01,90,100,8.66,overcast clouds,0,0
84,Bluff,NZ,2020-05-09 23:55:28,-46.6,168.33,56.32,72,61,7.16,broken clouds,0,0
85,New Norfolk,AU,2020-05-09 23:55:28,-42.78,147.06,48.99,74,11,4.0,few clouds,0,0
86,Muros,ES,2020-05-09 23:55:29,42.78,-9.06,55.0,93,33,7.23,scattered clouds,0,0
87,Mae Hong Son,TH,2020-05-09 23:55:29,19.3,97.97,78.4,75,11,0.74,few clouds,0,0
88,Busselton,AU,2020-05-09 23:52:31,-33.65,115.33,42.01,76,0,2.77,clear sky,0,0
89,Nikolskoye,RU,2020-05-09 23:55:29,59.7,30.79,41.0,69,32,4.47,scattered clouds,0,0
90,Pangnirtung,CA,2020-05-09 23:55:29,66.15,-65.71,27.52,93,100,9.53,light snow,0,0
91,Faya,SA,2020-05-09 23:55:29,18.39,42.45,68.0,77,1,0.81,clear sky,0,0
92,Mar Del Plata,AR,2020-05-09 23:55:29,-38.0,-57.56,59.0,87,0,10.29,clear sky,0,0
93,Manokwari,ID,2020-05-09 23:55:29,-0.87,134.08,84.79,71,50,2.57,scattered clouds,0,0
94,Hobyo,SO,2020-05-09 23:55:29,5.35,48.53,83.1,80,76,7.31,broken clouds,0,0
95,Ewo,CG,2020-05-09 23:55:29,-0.87,14.82,75.04,86,100,2.98,light rain,0,0
96,Necochea,AR,2020-05-09 23:55:29,-38.55,-58.74,51.01,87,0,1.99,clear sky,0,0
97,Iquitos,PE,2020-05-09 23:55:09,-3.75,-73.25,78.8,78,20,3.36,few clouds,0,0
98,Qaanaaq,GL,2020-05-09 23:55:30,77.48,-69.36,10.69,84,77,3.65,broken clouds,0,0
99,Kapustin Yar,RU,2020-05-09 23:55:30,48.58,45.74,49.62,80,0,16.08,clear sky,0,0
100,Nome,US,2020-05-09 23:54:17,64.5,-165.41,48.2,61,1,17.22,clear sky,0,0
101,Sinnamary,GF,2020-05-09 23:55:30,5.38,-52.95,78.17,88,98,13.15,moderate rain,0,0
102,Sao Joao Da Barra,BR,2020-05-09 23:55:30,-21.64,-41.05,69.75,63,9,8.72,clear sky,0,0
103,Kachug,RU,2020-05-09 23:55:30,53.96,105.88,46.98,57,52,8.68,broken clouds,0,0
104,Vaini,TO,2020-05-09 23:55:30,-21.2,-175.2,80.6,88,75,10.29,broken clouds,0,0
105,Vao,NC,2020-05-09 23:55:30,-22.67,167.48,72.46,69,59,11.36,broken clouds,0,0
106,Tombouctou,ML,2020-05-09 23:55:30,20.0,-3.0,86.61,12,0,3.74,clear sky,0,0
107,Tasiilaq,GL,2020-05-09 23:55:30,65.61,-37.64,32.0,89,100,16.11,overcast clouds,0,0
108,Letka,RU,2020-05-09 23:55:30,59.6,49.42,50.13,98,55,2.95,broken clouds,0,0
109,Victoria,HK,2020-05-09 23:54:38,22.29,114.16,86.0,70,64,4.0,broken clouds,0,0
