City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Ribnitz-Damgarten,DE,2020-05-07 15:42:22,54.25,12.47,57.2,58,20,10.29
130,Chifeng,CN,2020-05-07 15:44:52,42.27,118.96,61.54,59,100,6.13
131,Atar,MR,2020-05-07 15:44:52,20.52,-13.05,107.62,7,0,9.24
132,Sao Filipe,CV,2020-05-07 15:44:52,14.9,-24.5,76.98,68,1,14.76
133,Ust-Maya,RU,2020-05-07 15:44:53,60.42,134.53,40.57,76,100,10.38
134,Codrington,AU,2020-05-07 15:44:53,-38.27,141.97,54.77,86,47,10.89
135,Sterling,US,2020-05-07 15:44:53,39.01,-77.43,60.01,35,20,6.93
136,Baghdad,IQ,2020-05-07 15:40:24,33.34,44.4,86.0,20,0,8.05
137,Concarneau,FR,2020-05-07 15:44:53,47.88,-3.92,71.6,60,100,10.29
138,Pochutla,MX,2020-05-07 15:44:53,15.74,-96.47,90.0,55,40,4.47
139,Stornoway,GB,2020-05-07 15:44:53,58.21,-6.39,60.8,55,20,6.93
140,Castro,BR,2020-05-07 15:44:54,-24.79,-50.01,61.41,55,3,6.11
141,Hithadhoo,MV,2020-05-07 15:44:54,-0.6,73.08,84.7,76,25,15.14
142,San Quintin,MX,2020-05-07 15:44:54,30.48,-115.95,72.55,51,0,3.65
143,Saint-Philippe,RE,2020-05-07 15:44:54,-21.36,55.77,77.0,78,67,4.7
144,Junin,AR,2020-05-07 15:44:54,-34.58,-60.94,62.01,53,0,11.01
145,Tommot,RU,2020-05-07 15:44:54,58.96,126.29,34.27,91,100,12.17
146,Veinticinco De Mayo,AR,2020-05-07 15:44:54,-35.43,-60.17,60.13,41,0,9.08
147,Tura,IN,2020-05-07 15:44:55,25.52,90.22,76.24,44,0,3.4
148,Fortuna,US,2020-05-07 15:44:55,40.6,-124.16,55.99,87,1,4.25
149,Nuuk,GL,2020-05-07 15:41:55,64.18,-51.72,37.4,71,20,13.87
150,Puerto Escondido,MX,2020-05-07 15:44:55,15.85,-97.07,86.0,58,75,5.19
151,Akdepe,TM,2020-05-07 15:44:55,42.06,59.38,71.6,73,90,6.93
152,Ibaiti,BR,2020-05-07 15:44:56,-23.85,-50.19,68.0,69,22,3.0
153,Yumen,CN,2020-05-07 15:44:56,40.28,97.2,51.73,44,56,12.93
154,Uusikaupunki,FI,2020-05-07 15:44:56,60.8,21.41,50.0,37,0,13.87
155,Alice Springs,AU,2020-05-07 15:44:35,-23.7,133.88,57.2,22,0,1.12
156,Capao Da Canoa,BR,2020-05-07 15:44:57,-29.75,-50.01,64.74,62,6,13.29
157,Nuevitas,CU,2020-05-07 15:44:57,21.55,-77.26,80.6,83,75,9.17
158,Barra Patuca,HN,2020-05-07 15:44:57,15.8,-84.28,86.47,63,40,8.34
159,Maceio,BR,2020-05-07 15:42:01,-9.67,-35.74,84.2,79,75,8.05
160,Mount Isa,AU,2020-05-07 15:44:57,-20.73,139.5,62.6,55,31,1.12
161,Bandarbeyla,SO,2020-05-07 15:44:57,9.49,50.81,84.52,70,0,9.78
162,Dalbandin,PK,2020-05-07 15:44:58,28.89,64.41,90.54,11,8,4.56
163,Coihaique,CL,2020-05-07 15:40:28,-45.58,-72.07,53.6,100,90,2.24
164,Lunca Bradului,RO,2020-05-07 15:44:58,46.96,25.11,50.0,55,80,1.01
165,Praia,CV,2020-05-07 15:44:58,14.92,-23.51,82.4,54,20,23.04
166,Mandalgovi,MN,2020-05-07 15:44:58,45.76,106.27,44.37,52,100,4.83
167,Tukums,LV,2020-05-07 15:44:59,56.97,23.16,48.2,61,16,14.99
168,Spasskoye,RU,2020-05-07 15:44:59,44.61,132.8,51.8,45,96,11.63
169,Jamestown,US,2020-05-07 15:44:59,42.1,-79.24,51.8,34,1,10.29
170,Port Lincoln,AU,2020-05-07 15:41:55,-34.73,135.87,58.62,71,29,14.67
171,Kavieng,PG,2020-05-07 15:45:00,-2.57,150.8,82.44,75,13,7.02
172,Atbasar,KZ,2020-05-07 15:45:00,51.8,68.33,60.04,37,0,8.72
173,Chicama,PE,2020-05-07 15:45:00,-7.84,-79.15,71.6,78,75,11.41
174,Esperance,AU,2020-05-07 15:45:01,-33.87,121.9,55.4,66,40,13.87
175,Bethel,US,2020-05-07 15:45:01,41.37,-73.41,59.0,31,1,3.0
176,Narsaq,GL,2020-05-07 15:45:01,60.92,-46.05,50.0,53,40,6.93
177,Kentau,KZ,2020-05-07 15:45:01,43.52,68.51,69.12,51,87,11.36
178,Safford,US,2020-05-07 15:45:02,32.83,-109.71,73.4,15,1,0.36
179,Bima,ID,2020-05-07 15:45:02,-8.47,118.72,77.31,87,59,2.77
180,Kasungu,MW,2020-05-07 15:45:02,-13.03,33.48,65.91,57,20,6.67
181,Amahai,ID,2020-05-07 15:45:02,-3.33,128.92,84.99,87,85,4.0
182,Hanna,CA,2020-05-07 15:45:02,51.63,-111.9,54.0,50,100,5.01
183,Le Vauclin,MQ,2020-05-07 15:45:02,14.55,-60.84,87.8,62,75,19.46
184,Kirovsk,UA,2020-05-07 15:45:03,48.64,38.64,56.46,68,85,5.82
185,Owo,NG,2020-05-07 15:45:03,7.2,5.59,82.04,81,100,7.4
186,Mabaruma,GY,2020-05-07 15:45:03,8.2,-59.78,87.69,55,62,9.08
187,Neiafu,TO,2020-05-07 15:45:03,-18.65,-173.98,80.6,88,75,5.82
188,Bitung,ID,2020-05-07 15:45:03,1.45,125.18,78.8,94,20,2.24
189,Norman Wells,CA,2020-05-07 15:45:04,65.28,-126.83,32.0,84,20,8.05
190,Valparaiso,CL,2020-05-07 15:42:13,-33.04,-71.63,60.8,72,4,4.7
191,College,US,2020-05-07 15:45:04,64.86,-147.8,45.0,65,75,4.7
192,Tessalit,ML,2020-05-07 15:45:04,20.2,1.01,106.48,6,0,11.1
193,Bambanglipuro,ID,2020-05-07 15:45:05,-7.95,110.28,78.17,91,100,5.12
194,Savannakhet,LA,2020-05-07 15:45:05,16.57,104.75,87.6,58,30,6.17
195,Broome,US,2020-05-07 15:45:05,42.25,-75.83,55.99,29,1,12.75
196,Namibe,AO,2020-05-07 15:45:05,-15.2,12.15,104.0,33,20,14.99
197,Calvinia,ZA,2020-05-07 15:45:06,-31.47,19.78,70.18,21,100,2.39
198,Guerrero Negro,MX,2020-05-07 15:43:06,27.98,-114.06,74.93,44,0,6.82
199,Lagoa,PT,2020-05-07 15:45:06,39.05,-27.98,61.52,81,64,20.24
200,Nouakchott,MR,2020-05-07 15:43:20,18.09,-15.98,80.6,57,0,25.28
201,Petropavlovsk-Kamchatskiy,RU,2020-05-07 15:44:24,53.05,158.65,30.2,74,2,13.29
202,Hokitika,NZ,2020-05-07 15:45:06,-42.72,170.97,54.75,87,100,3.62
203,Weligama,LK,2020-05-07 15:45:07,5.97,80.42,81.1,83,100,6.13
204,Horodnya,UA,2020-05-07 15:45:07,51.89,31.6,44.6,89,100,10.78
205,Saldanha,ZA,2020-05-07 15:45:07,-33.01,17.94,77.0,41,100,9.17
206,Brasschaat,BE,2020-05-07 15:40:42,51.29,4.5,73.0,28,89,4.7
207,Thompson,CA,2020-05-07 15:45:07,55.74,-97.86,21.2,73,40,5.82
208,Wentzville,US,2020-05-07 15:45:07,38.81,-90.85,62.01,63,9,3.0
209,Boyuibe,BO,2020-05-07 15:45:07,-20.42,-63.28,66.2,40,100,5.77
210,Constitucion,CL,2020-05-07 15:45:07,-35.33,-72.42,67.28,36,0,3.29
211,Tagbac,PH,2020-05-07 15:45:08,7.09,125.16,82.4,100,90,5.82
212,Lujan,AR,2020-05-07 15:45:08,-34.57,-59.1,63.0,55,0,5.99
213,Pitimbu,BR,2020-05-07 15:45:08,-7.47,-34.81,86.0,62,40,13.87
214,Ilulissat,GL,2020-05-07 15:44:38,69.22,-51.1,30.2,63,40,13.87
215,Ostrovnoy,RU,2020-05-07 15:45:08,68.05,39.51,35.17,93,81,11.99
216,Cabo San Lucas,MX,2020-05-07 15:45:08,22.89,-109.91,73.99,72,5,6.93
217,Carauari,BR,2020-05-07 15:45:09,-4.88,-66.9,82.42,76,100,4.29
218,Jojoima,SL,2020-05-07 15:45:09,7.88,-10.79,91.17,52,80,4.25
219,Saint-Joseph,RE,2020-05-07 15:45:09,-21.37,55.62,77.0,78,61,4.7
220,Kununurra,AU,2020-05-07 15:45:09,-15.77,128.73,64.4,72,0,3.47
221,Ust-Kalmanka,RU,2020-05-07 15:45:09,52.12,83.31,57.74,53,3,4.18
222,Sioux Lookout,CA,2020-05-07 15:45:10,50.1,-91.92,32.0,70,75,18.34
223,Mangaratiba,BR,2020-05-07 15:45:10,-22.96,-44.04,68.0,82,90,13.87
224,Segou,ML,2020-05-07 15:45:10,13.43,-6.22,108.09,11,19,11.61
225,Hirara,JP,2020-05-07 15:45:10,24.8,125.28,75.24,83,11,11.61
226,Basoko,CD,2020-05-07 15:45:10,1.24,23.62,74.73,92,100,5.12
227,Shalinskoye,RU,2020-05-07 15:45:10,55.72,93.76,39.15,82,91,12.28
228,Nara,JP,2020-05-07 15:42:05,34.69,135.8,57.99,32,90,2.37
229,Okato,NZ,2020-05-07 15:45:11,-39.2,173.88,55.0,83,54,15.01
230,Rio Gallegos,AR,2020-05-07 15:45:11,-51.62,-69.22,51.8,76,100,18.34
231,Preobrazheniye,RU,2020-05-07 15:45:11,42.9,133.91,49.24,50,99,9.37
232,Moreno,BR,2020-05-07 15:45:11,-8.12,-35.09,86.0,66,20,10.29
233,Comodoro Rivadavia,AR,2020-05-07 15:45:01,-45.87,-67.5,68.0,60,62,3.36
234,Chiang Khong,TH,2020-05-07 15:45:12,20.26,100.4,88.0,58,8,1.23
235,Tarnogskiy Gorodok,RU,2020-05-07 15:45:12,60.5,43.58,59.41,82,47,7.36
236,Koslan,RU,2020-05-07 15:45:12,63.46,48.9,57.13,82,97,9.26
237,Obigarm,TJ,2020-05-07 15:45:12,38.72,69.71,59.56,34,100,5.48
238,Bilma,NE,2020-05-07 15:45:12,18.69,12.92,101.46,8,0,7.02
239,Sialkot,PK,2020-05-07 15:41:11,32.51,74.54,84.2,39,20,4.7
240,Kruisfontein,ZA,2020-05-07 15:45:12,-34.0,24.73,63.19,72,100,0.98
241,Alta Floresta,BR,2020-05-07 15:45:12,-9.88,-56.09,84.2,70,75,5.82
242,Bucerias,MX,2020-05-07 15:45:13,20.75,-105.33,82.0,74,75,3.36
243,Chaihe,CN,2020-05-07 15:45:13,44.77,129.7,52.16,56,90,5.64
244,Rio Grande,BR,2020-05-07 15:43:58,-32.03,-52.1,62.6,55,75,14.99
245,Kulhudhuffushi,MV,2020-05-07 15:45:13,6.62,73.07,82.63,81,100,3.33
246,Srednekolymsk,RU,2020-05-07 15:45:13,67.45,153.68,26.91,97,100,5.68
247,Ambon,ID,2020-05-07 15:45:13,-3.7,128.18,78.8,94,75,5.82
248,Gualeguay,AR,2020-05-07 15:45:13,-33.14,-59.31,61.34,50,0,6.93
249,Santa Comba,ES,2020-05-07 15:45:14,43.03,-8.81,79.0,69,100,8.01
250,Sosnogorsk,RU,2020-05-07 15:45:14,63.6,53.88,57.09,83,100,10.65
251,Novoselytsya,UA,2020-05-07 15:45:14,48.22,26.27,57.0,53,23,13.0
252,Nanakuli,US,2020-05-07 15:45:14,21.39,-158.15,71.6,94,75,3.36
253,Chapais,CA,2020-05-07 15:45:14,49.78,-74.85,28.4,79,90,8.05
254,Muros,ES,2020-05-07 15:45:14,42.78,-9.06,79.0,61,100,15.99
255,Urumqi,CN,2020-05-07 15:45:15,43.8,87.6,60.8,19,0,4.47
256,Erenhot,CN,2020-05-07 15:45:15,43.65,111.98,56.7,38,100,11.05
257,Kabare,CD,2020-05-07 15:45:15,-2.47,28.82,64.89,86,78,2.24
258,Half Moon Bay,US,2020-05-07 15:45:15,37.46,-122.43,64.99,67,5,3.96
